,contact_id,since_date,order_number,plan,transaction_date,section_name,row_name,first_seat,last_seat,num_seats,FSE,plan_base_price,pricecode,section_listing,eventcode,tickettypesid,sales_rep,9%
5805,10430596,7/26/2021,1998523-1,Full Season,4/27/2022,202,A,4,5,2,2.0,5628,SPU,Club Select,FS22,Renewed PH Full Season,Martin Necas,6134.52
5806,10534661,11/2/2021,1998524-1,Full Season,4/27/2022,331,E,3,4,2,2.0,2184,YFR,Shoot Twice Goal Zone,FS22,Renewed Full Season,Warrick Dunn,2380.5600000000004
5807,9652744,9/22/2021,1998525-3,Full Season,4/27/2022,312,D,7,8,2,2.0,1764,ZFR,FanZone,FS22,Renewed Full Season,Jesper Fast,1922.7600000000002
5808,15437143,11/8/2021,1998526-1,Full Season,4/27/2022,130,N,3,6,4,4.0,11256,IFR,Lower Level South,FS22,Renewed Full Season,Earvin Johnson,12269.04
5809,12576018,8/27/2021,1998528-1,Full Season,4/27/2022,123,Y,15,16,2,2.0,5628,IFR,Lower Level South,FS22,Renewed Full Season,Calvin de Haan,6134.52
5810,7141103,12/13/2021,1998529-1,Full Season,4/27/2022,123,X,14,15,2,2.0,5628,IFR,Lower Level South,FS22,Renewed Full Season,David Ortiz,6134.52
5811,11817348,9/15/2021,1998530-1,Full Season,4/27/2022,333,E,16,17,2,2.0,2184,YFRU,Shoot Twice Goal Zone,FS22,Renewed Full Season,Alexander Nikishin,2380.5600000000004
5812,15383915,11/1/2021,1998531-1,Full Season,4/27/2022,328,F,5,6,2,2.0,3024,XFR,Terrace Value,FS22,Renewed Full Season,David Ortiz,3296.1600000000003
5813,15918381,1/7/2022,1998532-1,Full Season,4/27/2022,105,Q,1,2,2,2.0,9996,DFRU,Center Ice  ,FS22,Renewed Full Season,David Ortiz,10895.640000000001
5814,419747,5/27/2021,1998533-1,Full Season,4/27/2022,109,XX,1,2,2,2.0,3696,KPR,Lower Level North,FS22,Renewed PH Full Season,David Ortiz,4028.6400000000003
5815,15539345,11/11/2021,1998534-1,Full Season,4/27/2022,102,N,1,4,4,4.0,16800,FFRU,Sideline Preferred,FS22,Renewed Full Season,Stefan Noesen,18312.0
5816,16054234,1/29/2022,1998535-1,Full Season,4/27/2022,105,Q,3,6,4,4.0,19992,DFRU,Center Ice  ,FS22,Renewed Full Season,Domenik Bokk,21791.280000000002
5817,9859739,8/16/2021,1998537-1,Full Season,4/27/2022,103,WW,7,7,1,1.0,3276,EPU,Center Ice Top 8,FS22,Renewed PH Full Season,Brent Burns,3570.84
5818,13232044,6/16/2021,1998538-1,Full Season,4/27/2022,110,W,12,13,2,2.0,3696,KPR,Lower Level North,FS22,Renewed PH Full Season,Sebastian Aho,4028.6400000000003
